"ecosystem","component","package","version","relationship","development_only","optional","licence_from_source","source_file","installation_path"
"Go","backend","github.com/davecgh/go-spew","v1.1.2-0.20180830191138-d8f796af33cc","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/emicklei/go-restful/v3","v3.13.0","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/fxamacker/cbor/v2","v2.9.0","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/go-logr/logr","v1.4.3","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/go-openapi/jsonpointer","v0.21.0","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/go-openapi/jsonreference","v0.20.2","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/go-openapi/swag","v0.23.0","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/google/gnostic-models","v0.7.0","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/google/uuid","v1.6.0","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/josharian/intern","v1.0.0","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/json-iterator/go","v1.1.12","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/mailru/easyjson","v0.7.7","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/modern-go/concurrent","v0.0.0-20180306012644-bacd9c7ef1dd","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/modern-go/reflect2","v1.0.3-0.20250322232337-35a7c28c31ee","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/munnerz/goautoneg","v0.0.0-20191010083416-a7dc8b61c822","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/pmezard/go-difflib","v1.0.1-0.20181226105442-5d4384ee4fb2","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/spf13/pflag","v1.0.10","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","github.com/x448/float16","v0.8.4","transitive","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
"Go","backend","go.etcd.io/bbolt","v1.5.0","direct","false","false","Not recorded in go.mod","kubeview-backend/go.mod",""
